id,vendor_id,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,distance_osrm,pickup_dist_NYC_center,dropoff_dist_NYC_center,speed_osrm,pickup_datetime_month,pickup_datetime_hour,pickup_datetime_weekday,pickup_datetime_period,dropoff_datetime_month,dropoff_datetime_hour,dropoff_datetime_weekday,dropoff_datetime_period,trip_duration,is_outlier
id3359326,2,1,-73.80573272705078,40.651588439941406,-73.29052734375,41.13914108276367,N,95.0835,18.243795645564244,76.63750808892367,76.71461228148813,2,18,Thursday,Evening,2,19,Thursday,Evening,4462,True
id3197559,1,1,-73.77677917480467,40.64543151855469,-73.41919708251953,40.77838516235352,N,45.2888,20.772655338728462,50.092312125523534,38.76359486447932,6,7,Thursday,Morning,6,9,Thursday,Morning,4206,True
id1948053,2,1,-73.90572357177734,41.69679641723633,-73.90485382080078,41.69335174560546,N,0.766,109.60369912087457,109.227899150837,5.7932773109243705,3,10,Wednesday,Morning,3,10,Wednesday,Morning,476,True
id2767862,2,2,-73.97689056396483,40.75188827514648,-73.62864685058594,41.42140579223633,N,92.774,4.988830475802519,84.8451101428982,47.28006795016987,5,20,Tuesday,Night,5,22,Tuesday,Night,7064,True
id1516860,2,2,-73.97091674804686,40.75820159912109,-73.561767578125,41.06317138671875,N,67.3034,5.8482503715726,53.99613779087622,74.85086190917515,4,21,Saturday,Night,4,22,Saturday,Night,3237,True
id2400204,2,2,-73.23799896240233,40.82561874389648,-73.22501373291014,40.82419967651367,N,1.1077,66.03981188258395,67.0879828783004,53.8881081081081,4,14,Friday,Afternoon,4,14,Friday,Afternoon,74,True
id1858895,2,5,-73.99872589111328,40.73991394042969,-74.0755386352539,41.28179550170898,N,86.2898,3.073038392621744,63.45943576437501,3.630664438237048,6,13,Saturday,Afternoon,6,13,Sunday,Afternoon,85561,True
id1970472,2,1,-73.7822036743164,40.64468002319336,-73.53517913818358,41.05118942260742,N,77.0096,20.376433514423383,54.652478213399256,73.63467729083665,5,15,Sunday,Afternoon,5,16,Sunday,Evening,3765,True
id0947957,2,2,-73.86676025390625,40.77151107788086,-73.42820739746092,41.11587905883789,N,97.6336,13.446821963784004,66.12852868700632,114.93818181818182,5,11,Tuesday,Morning,5,12,Tuesday,Afternoon,3058,True
id1512695,2,3,-73.98990631103516,40.76736831665039,-73.8316650390625,41.17091751098633,N,53.2627,6.210347335374426,52.95096174182073,64.71337158285522,6,9,Friday,Morning,6,10,Friday,Morning,2963,True
id0625588,2,2,-73.78138732910156,40.64484024047852,-73.54660034179686,41.053321838378906,N,76.939,20.433934461666368,54.12232771437287,50.55309363022449,5,17,Wednesday,Evening,5,18,Wednesday,Evening,5479,True
id2727007,1,1,-73.86398315429686,40.770069122314446,-73.4098358154297,40.7712287902832,N,46.489,13.576813225766587,50.76966964357897,40.230865384615385,3,7,Monday,Morning,3,8,Monday,Morning,4160,True
id1771521,1,1,-73.77681732177734,40.6458396911621,-73.3240737915039,40.84578704833984,N,58.6255,20.753308397757937,59.4289488326021,80.24783269961978,1,6,Thursday,Morning,1,7,Thursday,Morning,2630,True
id0563093,2,1,-73.7812957763672,40.644886016845696,-73.3722152709961,40.83087158203125,N,55.8515,20.43924527546562,55.0900003420734,76.16113636363637,5,0,Saturday,Early Morning,5,0,Saturday,Early Morning,2640,True
id0997629,1,1,-73.78195190429686,40.64473724365234,-73.19065856933594,40.795658111572266,N,66.5345,20.39383584220004,69.46491538208213,86.5020585048754,5,0,Sunday,Early Morning,5,1,Sunday,Early Morning,2769,True
id3411872,1,3,-74.00244140625,40.73993682861328,-73.90088653564453,41.387001037597656,N,86.6142,3.028466628920178,75.39299425646948,54.52196537856268,4,16,Friday,Evening,4,18,Friday,Evening,5719,True
id0091982,2,1,-73.78988647460938,40.64376831054688,-73.04737854003906,41.23573684692384,N,90.5581,19.81386377067379,99.41056859338124,52.1698127700432,1,17,Monday,Evening,1,19,Monday,Evening,6249,True
id2161388,2,1,-73.98892211914062,40.718658447265625,-73.5680389404297,41.048221588134766,N,72.4726,1.582880265491576,52.44190253402152,37.71340849956635,6,2,Sunday,Early Morning,6,4,Sunday,Early Morning,6918,True
id2156521,1,3,-73.78115844726561,40.6448974609375,-74.55001068115233,40.435646057128906,N,59.9926,20.44956643759194,55.39903792483258,40.14374721189591,6,20,Thursday,Night,6,22,Thursday,Night,5380,True
id0201821,1,1,-73.86334228515625,40.77001953125,-73.41239929199219,40.73409652709961,N,49.6555,13.62209501532635,50.206503666350144,63.39000000000001,6,12,Monday,Afternoon,6,13,Monday,Afternoon,2820,True
id2874133,1,1,-73.7768325805664,40.64547348022461,-73.4144058227539,40.78807067871094,N,46.523300000000006,20.766759641296293,50.6554506679993,69.98908483075638,5,19,Monday,Evening,5,20,Monday,Night,2393,True
id3843701,1,1,-73.99039459228516,40.71951675415039,-73.83625030517578,41.147003173828125,N,56.7901,1.5149251301995112,50.29423370958055,71.55910395519776,2,23,Thursday,Night,2,0,Friday,Early Morning,2857,True
id3195590,2,1,-73.78358459472656,40.648601531982415,-73.5374984741211,41.06003189086913,N,75.8385,20.109091268175707,55.19037456282493,70.56567588524166,6,18,Wednesday,Evening,6,19,Wednesday,Evening,3869,True
id2871847,1,1,-73.86402893066406,40.77029037475586,-73.78269958496092,41.15839767456056,N,56.7235,13.584909146626234,52.93764755113549,78.66124807395994,2,21,Thursday,Night,2,21,Thursday,Night,2596,True
id3230185,2,2,-73.9793701171875,40.75569152832031,-73.33280944824217,40.85445022583008,N,65.32509999999999,5.267527255674345,58.96071822448378,50.368464339258935,3,19,Tuesday,Evening,3,20,Tuesday,Night,4669,True
id1216866,1,1,-73.98149108886719,40.773250579833984,-76.1357192993164,40.24362564086913,N,48.252300000000005,7.024892304095094,187.9490825949472,17.507385607740375,3,22,Saturday,Night,3,0,Sunday,Early Morning,9922,True
id0424393,2,1,-73.90863037109375,40.80611038208008,-73.50843811035155,41.07938003540039,N,88.6852,13.22769872207559,58.439716235082464,111.4369005235602,2,18,Monday,Evening,2,19,Monday,Evening,2865,True
id1737733,2,2,-73.98316192626953,40.74713134765625,-73.45439147949217,41.092811584472656,N,97.7243,4.272821849478291,62.77803428895474,74.77310945802338,6,7,Monday,Morning,6,9,Monday,Morning,4705,True
id2017266,2,1,-73.78189086914062,40.644695281982415,-73.3639373779297,40.71242141723633,N,41.5457,20.400361038445645,54.25390932553216,41.84793508673754,1,17,Friday,Evening,1,18,Friday,Evening,3574,True
id0169751,1,1,-73.8733139038086,40.77407836914063,-73.37782287597656,40.699573516845696,N,52.4206,13.110976878100605,53.10599815369952,72.77831083686849,1,0,Thursday,Early Morning,1,0,Thursday,Early Morning,2593,True
id2590417,2,1,-73.7822036743164,40.644962310791016,-73.566650390625,41.02856063842773,N,52.762800000000006,20.3647799018456,51.00313386848656,31.072481596597417,4,16,Friday,Evening,4,18,Friday,Evening,6113,True
id3795134,1,3,-75.23832702636719,39.92302703857422,-73.92257690429686,40.610130310058594,N,41.1618,136.6061396140244,13.407265503671528,8.534382307204977,3,20,Monday,Night,3,1,Tuesday,Early Morning,17363,True
id3458201,2,1,-73.87632751464845,40.77214050292969,-73.28742218017578,41.13809967041016,N,85.84219999999999,12.781961799186004,76.77250861444999,80.75043637313821,5,21,Tuesday,Night,5,22,Tuesday,Night,3827,True
